#mgi_symbol_MOUSE	hgnc_symbol_HUMAN
0610010K14Rik	C17orf49
Gspt2	GSPT2
Gsr	GSR
Gss	GSS
Gstk1	GSTK1
Gstm4	GSTM4
Gsto1	GSTO1
Gtf2a1	GTF2A1
Gtf2b	GTF2B
Gtf2f1	GTF2F1
Gtf2f2	GTF2F2
Gtf2h1	GTF2H1
Gtf2h4	GTF2H4
Gtf2h5	GTF2H5
Gtf2i	GTF2I
Gtf3a	GTF3A
Gtf3c1	GTF3C1
Gtf3c2	GTF3C2
Gtf3c3	GTF3C3
Gtf3c5	GTF3C5
Gtf3c6	GTF3C6
Gtpbp10	GTPBP10
Gtpbp4	GTPBP4
Gtpbp8	GTPBP8
Guk1	GUK1
Gzf1	GZF1
Hadh	HADH
Hadha	HADHA
Hagh	HAGH
Hars2	HARS2
Hat1	HAT1
Haus3	HAUS3
Haus4	HAUS4
Haus7	HAUS7
Hax1	HAX1
Hbp1	HBP1
Hbs1l	HBS1L
Hccs	HCCS
Hcfc1	HCFC1
Hdac2	HDAC2
Hdac3	HDAC3
Hdac6	HDAC6
Hdac8	HDAC8
Hddc3	HDDC3
Hdgf	HDGF
Hdhd3	HDHD3
Hdlbp	HDLBP
Heatr5a	HEATR5A
Hebp1	HEBP1
Hectd3	HECTD3
Helz	HELZ
Hemk1	HEMK1
Herc4	HERC4
Herpud1	HERPUD1
Herpud2	HERPUD2
Hexa	HEXA
Hexim1	HEXIM1
Hgs	HGS
Hibadh	HIBADH
Higd1a	HIGD1A
Higd2a	HIGD2A
Hinfp	HINFP
Hint1	HINT1
Hint2	HINT2
Hivep1	HIVEP1
Hmbs	HMBS
Hmg20a	HMG20A
Hmg20b	HMG20B
Hmgn3	HMGN3
Hmgxb3	HMGXB3
Hmgxb4	HMGXB4
Hmox2	HMOX2
Hnrnpa0	HNRNPA0
Hnrnpa2b1	HNRNPA2B1
Hnrnpab	HNRNPAB
Hnrnpd	HNRNPD
Hnrnpf	HNRNPF
Hnrnph2	HNRNPH2
Hnrnpk	HNRNPK
Hnrnpl	HNRNPL
Hnrnpm	HNRNPM
Hnrnpr	HNRNPR
Hnrnpu	HNRNPU
Hnrnpul1	HNRNPUL1
Hnrnpul2	HNRNPUL2
Hp1bp3	HP1BP3
Hps1	HPS1
Hps6	HPS6
Hs1bp3	HS1BP3
Hs2st1	HS2ST1
Hs6st1	HS6ST1
Hscb	HSCB
Hsd17b10	HSD17B10
Hsd17b12	HSD17B12
Hsd17b4	HSD17B4
Hspa14	HSPA14
Hspa4	HSPA4
Hspa5	HSPA5
Hspa8	HSPA8
Hspa9	HSPA9
Hspbp1	HSPBP1
Htatip2	HTATIP2
Htra2	HTRA2
Htt	HTT
Hus1	HUS1
Huwe1	HUWE1
Hyou1	HYOU1
Hypk	HYPK
Iah1	IAH1
Iars2	IARS2
Iba57	IBA57
Ibtk	IBTK
Icmt	ICMT
Ide	IDE
Idh3a	IDH3A
Idh3b	IDH3B
Idh3g	IDH3G
Idi1	IDI1
Ifnar1	IFNAR1
Ifngr1	IFNGR1
Ifrd1	IFRD1
Ift27	IFT27
Ikzf5	IKZF5
Il13ra1	IL13RA1
Il6st	IL6ST
Ilf2	ILF2
Ilkap	ILKAP
Ilvbl	ILVBL
Immt	IMMT
Imp3	IMP3
Imp4	IMP4
Inf2	INF2
Ing1	ING1
Ino80b	INO80B
Ino80e	INO80E
Inpp5a	INPP5A
Inpp5k	INPP5K
Insig2	INSIG2
Ints1	INTS1
Ints10	INTS10
Ints12	INTS12
Ints3	INTS3
Ints4	INTS4
Invs	INVS
Ip6k1	IP6K1
Ip6k2	IP6K2
Ipo7	IPO7
Ipo8	IPO8
Ipo9	IPO9
Irak1	IRAK1
Ireb2	IREB2
Irf2bp1	IRF2BP1
Irf2bp2	IRF2BP2
Irf2bpl	IRF2BPL
Irgq	IRGQ
Isoc2a	ISOC2
Isoc2b	ISOC2
Ist1	IST1
Isy1	ISY1
Itch	ITCH
Itfg1	ITFG1
Itgb1	ITGB1
Itgb1bp1	ITGB1BP1
Itm2b	ITM2B
Itpa	ITPA
Itpk1	ITPK1
Itpkc	ITPKC
Itpripl2	ITPRIPL2
Ivns1abp	IVNS1ABP
Iws1	IWS1
Jagn1	JAGN1
Jak1	JAK1
Jkamp	JKAMP
Jkampl	JKAMP
Jmjd4	JMJD4
Jmjd6	JMJD6
Jmjd7	JMJD7
Jmjd8	JMJD8
Josd2	JOSD2
Jtb	JTB
Jund	JUND
Kansl2	KANSL2
Kansl3	KANSL3
Kat2b	KAT2B
Kat5	KAT5
Kat8	KAT8
Kbtbd2	KBTBD2
Kbtbd4	KBTBD4
Kcmf1	KCMF1
Kctd20	KCTD20
Kctd21	KCTD21
Kctd6	KCTD6
Kdm2a	KDM2A
Kdm4a	KDM4A
Kdsr	KDSR
Khdrbs1	KHDRBS1
Khnyn	KHNYN
Khsrp	KHSRP
Klc4	KLC4
Klf3	KLF3
Klf9	KLF9
Klhdc2	KLHDC2
Klhdc3	KLHDC3
Klhl20	KLHL20
Klhl25	KLHL25
Klhl36	KLHL36
Klhl5	KLHL5
Klhl8	KLHL8
Kpna1	KPNA1
Kpnb1	KPNB1
Krcc1	KRCC1
Krr1	KRR1
Kti12	KTI12
Ktn1	KTN1
L3mbtl2	L3MBTL2
Lactb	LACTB
Lage3	LAGE3
Lamp1	LAMP1
Lamp2	LAMP2
Lamtor1	LAMTOR1
Lamtor2	LAMTOR2
Lamtor3	LAMTOR3
Lamtor4	LAMTOR4
Lamtor5	LAMTOR5
Lap3	LAP3
Laptm4a	LAPTM4A
Larp1	LARP1
Larp4	LARP4
Larp7	LARP7
Lars2	LARS2
Lcor	LCOR
Ldha	LDHA
Lemd2	LEMD2
Leng1	LENG1
Leprot	LEPROT
Letm1	LETM1
Letmd1	LETMD1
Lgalsl	LGALSL
Lhpp	LHPP
Lias	LIAS
Lig3	LIG3
Lig4	LIG4
Lin37	LIN37
Lin54	LIN54
Lin7c	LIN7C
Lipt1	LIPT1
Lman1	LMAN1
Lmbrd1	LMBRD1
Lmf2	LMF2
Lmo4	LMO4
Lnx2	LNX2
Lonp1	LONP1
Lonp2	LONP2
Lpcat3	LPCAT3
Lpin1	LPIN1
Lrfn3	LRFN3
Lrpap1	LRPAP1
Lrpprc	LRPPRC
Lrrc14	LRRC14
Lrrc24	LRRC24
Lrrc28	LRRC28
Lrrc40	LRRC40
Lrrc41	LRRC41
Lrrc42	LRRC42
Lrrc47	LRRC47
Lrrc57	LRRC57
Lrrc59	LRRC59
Lrrc8a	LRRC8A
Lrrfip2	LRRFIP2
Lrsam1	LRSAM1
Lsg1	LSG1
Lsm1	LSM1
Lsm10	LSM10
Lsm14a	LSM14A
Lsm14b	LSM14B
Lsm2	LSM2
Lsm3	LSM3
Lsm4	LSM4
Lsm5	LSM5
Lsm6	LSM6
Lsm7	LSM7
Lss	LSS
Ltv1	LTV1
Luc7l2	LUC7L2
Luc7l3	LUC7L3
Lyrm1	LYRM1
Lyrm4	LYRM4
Lysmd1	LYSMD1
Lysmd3	LYSMD3
Lysmd4	LYSMD4
Lztr1	LZTR1
M6pr	M6PR
Mad2l1bp	MAD2L1BP
Mad2l2	MAD2L2
Maea	MAEA
Maged1	MAGED1
Magoh	MAGOH
Magt1	MAGT1
Mak16	MAK16
Malsu1	MALSU1
Man1a2	MAN1A2
Man1b1	MAN1B1
Man2a2	MAN2A2
Man2b2	MAN2B2
Man2c1	MAN2C1
Map2k1	MAP2K1
Map2k2	MAP2K2
Map2k5	MAP2K5
Map3k7	MAP3K7
Map4k4	MAP4K4
Mapk1	MAPK1
Mapk1ip1	MAPK1IP1L
Mapk1ip1l	MAPK1IP1L
Mapk6	MAPK6
Mapk8	MAPK8
Mapk9	MAPK9
Mapkap1	MAPKAP1
Mapkapk2	MAPKAPK2
Mapkapk5	MAPKAPK5
Mapre2	MAPRE2
Mark3	MARK3
Mark4	MARK4
Mars2	MARS2
Mat2b	MAT2B
Mavs	MAVS
Max	MAX
Maz	MAZ
Mbd1	MBD1
Mbd2	MBD2
Mbd3	MBD3
Mbd4	MBD4
Mblac1	MBLAC1
Mbnl2	MBNL2
Mbtps1	MBTPS1
Mbtps2	MBTPS2
Mcat	MCAT
Mccc1	MCCC1
Mcee	MCEE
Mcfd2	MCFD2
Mcm3ap	MCM3AP
Mcm7	MCM7
Mcmbp	MCMBP
Mcoln1	MCOLN1
Mcph1	MCPH1
Mcrs1	MCRS1
Mcts1	MCTS1
Mcu	MCU
Mdc1	MDC1
Me2	ME2
Meaf6	MEAF6
Mecp2	MECP2
Med11	MED11
Med13	MED13
Med14	MED14
Med16	MED16
Med19	MED19
Med20	MED20
Med21	MED21
Med24	MED24
Med29	MED29
Med31	MED31
Med4	MED4
Med6	MED6
Med7	MED7
Med8	MED8
Mef2a	MEF2A
Memo1	MEMO1
Men1	MEN1
Mepce	MEPCE
Metap1	METAP1
Metap2	METAP2
Metrn	METRN
Mettl14	METTL14
Mettl16	METTL16
Mettl17	METTL17
Mettl18	METTL18
Mettl2	METTL2A
Mettl2	METTL2B
Mettl21a	METTL21A
Mettl23	METTL23
Mettl3	METTL3
Mettl5	METTL5
Mfap1a	MFAP1
Mfap1b	MFAP1
Mfap3	MFAP3
Mff	MFF
Mfn1	MFN1
Mfsd11	MFSD11
Mfsd12	MFSD12
Mfsd3	MFSD3
Mfsd5	MFSD5
Mgat2	MGAT2
Mgat4b	MGAT4B
Mgme1	MGME1
Mgmt	MGMT
Mgrn1	MGRN1
Mgst3	MGST3
Mia3	MIA3
Mib1	MIB1
Micall1	MICALL1
Micu1	MICU1
Mid1ip1	MID1IP1
Midn	MIDN
Mien1	MIEN1
Mier1	MIER1
Mif	MIF
Mif4gd	MIF4GD
Miip	MIIP
Mis12	MIS12
Mitd1	MITD1
Mkks	MKKS
Mkln1	MKLN1
Mknk1	MKNK1
Mkrn2	MKRN2
Mlec	MLEC
Mlf2	MLF2
Mlh1	MLH1
Mllt1	MLLT1
Mllt10	MLLT10
Mlst8	MLST8
Mlx	MLX
Mmaa	MMAA
Mmadhc	MMADHC
Mms19	MMS19
Mnat1	MNAT1
Mob4	MOB4
Mogs	MOGS
Mon1a	MON1A
Mon2	MON2
Morc2a	MORC2
Morf4l2	MORF4L2
Mospd1	MOSPD1
Mpc2	MPC2
Mpdu1	MPDU1
Mpg	MPG
Mphosph10	MPHOSPH10
Mpi	MPI
Mplkip	MPLKIP
Mpnd	MPND
Mppe1	MPPE1
Mpv17l2	MPV17L2
Mrfap1	MRFAP1
Mrfap1	MRFAP1L1
Mri1	MRI1
Mrm1	MRM1
Mrpl1	MRPL1
Mrpl10	MRPL10
Mrpl11	MRPL11
Mrpl12	MRPL12
Mrpl13	MRPL13
Mrpl14	MRPL14
Mrpl15	MRPL15
Mrpl16	MRPL16
Mrpl17	MRPL17
Mrpl18	MRPL18
Mrpl19	MRPL19
Mrpl2	MRPL2
Mrpl20	MRPL20
Mrpl21	MRPL21
Mrpl22	MRPL22
Mrpl23	MRPL23
Mrpl24	MRPL24
Mrpl27	MRPL27
Mrpl28	MRPL28
Mrpl3	MRPL3
Mrpl30	MRPL30
Mrpl32	MRPL32
Mrpl33	MRPL33
Mrpl35	MRPL35
Mrpl36	MRPL36
Mrpl37	MRPL37
Mrpl38	MRPL38
Mrpl4	MRPL4
Mrpl40	MRPL40
Mrpl41	MRPL41
Mrpl42	MRPL42
Mrpl43	MRPL43
Mrpl44	MRPL44
Mrpl45	MRPL45
Mrpl46	MRPL46
Mrpl47	MRPL47
Mrpl48	MRPL48
Mrpl49	MRPL49
Mrpl50	MRPL50
Mrpl51	MRPL51
Mrpl52	MRPL52
Mrpl53	MRPL53
Mrpl54	MRPL54
Mrpl55	MRPL55
Mrpl9	MRPL9
Mrps10	MRPS10
Mrps11	MRPS11
Mrps12	MRPS12
Mrps14	MRPS14
Mrps15	MRPS15
Mrps16	MRPS16
Mrps17	MRPS17
Mrps18a	MRPS18A
Mrps18b	MRPS18B
Mrps18c	MRPS18C
Mrps2	MRPS2
Mrps21	MRPS21
Mrps22	MRPS22
Mrps23	MRPS23
Mrps24	MRPS24
Mrps25	MRPS25
Mrps26	MRPS26
Mrps27	MRPS27
Mrps28	MRPS28
Mrps30	MRPS30
Mrps31	MRPS31
Mrps33	MRPS33
Mrps34	MRPS34
Mrps35	MRPS35
Mrps5	MRPS5
Mrps6	MRPS6
Mrps7	MRPS7
Mrps9	MRPS9
Mrrf	MRRF
Mrs2	MRS2
Mrto4	MRTO4
Msantd3	MSANTD3
Msh3	MSH3
Msh6	MSH6
Msl3	MSL3
Msmp	MSMP
Msra	MSRA
Msra	MSRA
Msrb2	MSRB2
Mta2	MTA2
Mtch1	MTCH1
Mtch2	MTCH2
Mtdh	MTDH
Mtfmt	MTFMT
Mtfr1	MTFR1
Mtfr1l	MTFR1L
Mtif3	MTIF3
Mtm1	MTM1
Mtmr1	MTMR1
Mtmr3	MTMR3
Mtmr6	MTMR6
Mto1	MTO1
Mtpap	MTPAP
Mtrr	MTRR
Mtss1	MTSS1
Mtx2	MTX2
Mul1	MUL1
Mus81	MUS81
Mvd	MVD
Mxd4	MXD4
Mxi1	MXI1
Mybbp1a	MYBBP1A
Myl12b	MYL12B
Mynn	MYNN
Myo1e	MYO1E
Mypop	MYPOP
Mzf1	MZF1
Mzt2	MZT2A
Mzt2	MZT2B
N4bp1	N4BP1
N4bp2l2	N4BP2L2
Naa10	NAA10
Naa15	NAA15
Naa20	NAA20
Naa38	NAA38
Naa50	NAA50
Naa60	NAA60
Nabp2	NABP2
Naca	NACA
Nacc1	NACC1
Nacc2	NACC2
Nae1	NAE1
Nampt	NAMPT
Nans	NANS
Nap1l4	NAP1L4
Napa	NAPA
Narf	NARF
Nars2	NARS2
Nat10	NAT10
Nbn	NBN
Nbr1	NBR1
Ncaph2	NCAPH2
Ncbp2	NCBP2
Nck1	NCK1
Nckipsd	NCKIPSD
Ncl	NCL
Ncln	NCLN
Ncoa1	NCOA1
Ncoa6	NCOA6
Ncor1	NCOR1
Ncstn	NCSTN
Ndel1	NDEL1
Ndfip1	NDFIP1
Ndst1	NDST1
Ndufa10	NDUFA10
Ndufa11	NDUFA11
Ndufa12	NDUFA12
Ndufa13	NDUFA13
Ndufa2	NDUFA2
Ndufa3	NDUFA3
Ndufa4	NDUFA4
Ndufa5	NDUFA5
Ndufa6	NDUFA6
Ndufa7	NDUFA7
Ndufa8	NDUFA8
Ndufa9	NDUFA9
Ndufaf2	NDUFAF2
Ndufaf3	NDUFAF3
Ndufaf4	NDUFAF4
Ndufb10	NDUFB10
Ndufb11	NDUFB11
Ndufb11b	NDUFB11
Ndufb2	NDUFB2
Ndufb3	NDUFB3
Ndufb4	NDUFB4
Ndufb5	NDUFB5
Ndufb6	NDUFB6
Ndufb7	NDUFB7
Ndufb8	NDUFB8
Ndufb9	NDUFB9
Ndufc1	NDUFC1
Ndufc2	NDUFC2
Ndufs2	NDUFS2
Ndufs3	NDUFS3
Ndufs4	NDUFS4
Ndufs5	NDUFS5
Ndufs6	NDUFS6
Ndufs7	NDUFS7
Ndufs8	NDUFS8
Ndufv1	NDUFV1
Ndufv2	NDUFV2
Necap1	NECAP1
Nedd8	NEDD8
Neil2	NEIL2
Nek4	NEK4
Nek9	NEK9
Nelfb	NELFB
Nelfcd	NELFCD
Nelfe	NELFE
Nenf	NENF
Neu1	NEU1
Nf2	NF2
Nfatc2ip	NFATC2IP
Nfe2l2	NFE2L2
Nfil3	NFIL3
Nfkbib	NFKBIB
Nfkbil1	NFKBIL1
Nfu1	NFU1
Nfx1	NFX1
Nfyb	NFYB
Nfyc	NFYC
Ngdn	NGDN
Ngly1	NGLY1
Ngrn	NGRN
Nhp2	NHP2
Nif3l1	NIF3L1
Ninj1	NINJ1
Nip7	NIP7
Nipa2	NIPA2
Nipbl	NIPBL
Nisch	NISCH
Nit1	NIT1
Nit2	NIT2
Nkap	NKAP
Nkiras2	NKIRAS2
Nmd3	NMD3
Nme2	NME2
Nme3	NME3
Nme6	NME6
Nmrk1	NMRK1
Nmt1	NMT1
Noa1	NOA1
Nob1	NOB1
Noc2l	NOC2L
Nol10	NOL10
Nol11	NOL11
Nol12	NOL12
Nol6	NOL6
Nol7	NOL7
Nol8	NOL8
Nolc1	NOLC1
Nom1	NOM1
Nono	NONO
Nop10	NOP10
Nop14	NOP14
Nop16	NOP16
Nop2	NOP2
Nop56	NOP56
Nop58	NOP58
Nop9	NOP9
Npc1	NPC1
Npc2	NPC2
Nploc4	NPLOC4
Nprl2	NPRL2
Nprl3	NPRL3
Nqo2	NQO2
Nr1h2	NR1H2
Nr2c1	NR2C1
Nr2c2ap	NR2C2AP
Nr3c2	NR3C2
Nrbp1	NRBP1
Nrde2	NRDE2
Nrip1	NRIP1
Nsd1	NSD1
Nsdhl	NSDHL
Nsfl1c	NSFL1C
Nsmce1	NSMCE1
Nsmce2	NSMCE2
Nsmce4a	NSMCE4A
Nsrp1	NSRP1
Nsun2	NSUN2
Nsun5	NSUN5
Nsun6	NSUN6
Nt5c	NT5C
Nt5dc1	NT5DC1
Ntan1	NTAN1
Ntan1	NTAN1
Ntmt1	NTMT1
Ntpcr	NTPCR
Nub1	NUB1
Nubp1	NUBP1
Nubp2	NUBP2
Nucb1	NUCB1
Nucks1	NUCKS1
Nudc	NUDC
Nudcd1	NUDCD1
Nudcd2	NUDCD2
Nudt14	NUDT14
Nudt15	NUDT15
Nudt2	NUDT2
Nudt21	NUDT21
Nudt22	NUDT22
Nudt3	NUDT3
Nudt9	NUDT9
Nufip2	NUFIP2
Nup107	NUP107
Nup133	NUP133
Nup153	NUP153
Nup54	NUP54
Nup62	NUP62
Nup85	NUP85
Nutf2	NUTF2
Nxf1	NXF1
Nxt1	NXT1
Oat	OAT
Oaz1	OAZ1
Oaz2	OAZ2
Ocel1	OCEL1
Ociad1	OCIAD1
Odc1	ODC1
Ogfod1	OGFOD1
Ogfod3	OGFOD3
Ogfr	OGFR
Ogg1	OGG1
Ogt	OGT
Ola1	OLA1
Opa1	OPA1
Opa3	OPA3
Orc4	ORC4
Ormdl1	ORMDL1
Ormdl2	ORMDL2
Ormdl3	ORMDL3
Os9	OS9
Osbp	OSBP
Osbpl2	OSBPL2
Osbpl9	OSBPL9
Osgep	OSGEP
Osgin2	OSGIN2
Ostm1	OSTM1
Otub1	OTUB1
Otud5	OTUD5
Ovca2	OVCA2
Oxa1l	OXA1L
Oxnad1	OXNAD1
P4htm	P4HTM
Pa2g4	PA2G4
Pabpn1	PABPN1
Pacsin2	PACSIN2
Paf1	PAF1
Pafah1b1	PAFAH1B1
Pagr1a	PAGR1
Paics	PAICS
Paip1	PAIP1
Paip2	PAIP2
Pak1ip1	PAK1IP1
Pak2	PAK2
Pam16	PAM16
Pam16l	PAM16
Pank2	PANK2
Pank3	PANK3
Pank4	PANK4
Panx1	PANX1
Papola	PAPOLA
Park7	PARK7
Parl	PARL
Parn	PARN
Parp1	PARP1
Parp3	PARP3
Parp9	PARP9
Patl1	PATL1
Patz1	PATZ1
Paxbp1	PAXBP1
Pbdc1	PBDC1
Pbp2	PEBP1
Pbx2	PBX2
Pcbp1	PCBP1
Pcbp2	PCBP2
Pcdhgb5	PCDHGB5
Pcf11	PCF11
Pcgf1	PCGF1
Pcgf5	PCGF5
Pcid2	PCID2
Pcif1	PCIF1
Pcm1	PCM1
Pcmt1	PCMT1
Pcna	PCNA
Pcsk7	PCSK7
Pcyox1	PCYOX1
Pcyt1a	PCYT1A
Pdap1	PDAP1
Pdcd2	PDCD2
Pdcd5	PDCD5
Pdcd6	PDCD6
Pde12	PDE12
Pde6d	PDE6D
Pdgfc	PDGFC
Pdhb	PDHB
Pdhx	PDHX
Pdk2	PDK2
Pdlim5	PDLIM5
Pdp2	PDP2
Pds5a	PDS5A
Pdzd11	PDZD11
Pdzd8	PDZD8
Pef1	PEF1
Pelo	PELO
Pelp1	PELP1
Pepd	PEPD
Pes1	PES1
Pet100	PET100
Pet117	PET117
Pex1	PEX1
Pex11a	PEX11A
Pex11b	PEX11B
Pex12	PEX12
Pex13	PEX13
Pex14	PEX14
Pex16	PEX16
Pex19	PEX19
Pex2	PEX2
Pex26	PEX26
Pex5	PEX5
Pex6	PEX6
Pfdn2	PFDN2
Pfdn4	PFDN4
Pfdn5	PFDN5
Pfdn6	PFDN6
Pfn1	PFN1
Pgam5	PGAM5
Pgk1	PGK1
Pgls	PGLS
Pgp	PGP
Pgpep1	PGPEP1
Pgrmc2	PGRMC2
Phactr4	PHACTR4
Phax	PHAX
Phb2	PHB2
Phc2	PHC2
Phf10	PHF10
Phf12	PHF12
Phf20l1	PHF20L1
Phf23	PHF23
Phf5a	PHF5A
Phkb	PHKB
Phpt1	PHPT1
Phrf1	PHRF1
Pi4k2a	PI4K2A
Pi4ka	PI4KA
Pi4kb	PI4KB
Pias1	PIAS1
Picalm	PICALM
Pick1	PICK1
Pigc	PIGC
Pigf	PIGF
Pigg	PIGG
Pigh	PIGH
Pigk	PIGK
Pigp	PIGP
Pigs	PIGS
Pigt	PIGT
Pigu	PIGU
Pigw	PIGW
Pigx	PIGX
Pigyl	PIGY
Pih1d1	PIH1D1
Pik3c3	PIK3C3
Pik3cb	PIK3CB
Pik3r1	PIK3R1
Pik3r4	PIK3R4
Pin1	PIN1
Pin1rt1	PIN1
Pink1	PINK1
Pinx1	PINX1
Pinx1	PINX1
Pip5k1a	PIP5K1A
Pithd1	PITHD1
Pitpna	PITPNA
Pitpnb	PITPNB
Pitrm1	PITRM1
Pla2g12a	PLA2G12A
Plaa	PLAA
Plbd2	PLBD2
Pld3	PLD3
Plekha1	PLEKHA1
Plekhj1	PLEKHJ1
Plekhm1	PLEKHM1
Plgrkt	PLGRKT
Plin3	PLIN3
Plod1	PLOD1
Plod3	PLOD3
Plrg1	PLRG1
Pmf1	PMF1
Pmpca	PMPCA
Pmpcb	PMPCB
Pms1	PMS1
Pmvk	PMVK
Pnisr	PNISR
Pnkd	PNKD
Pnkp	PNKP
Pnn	PNN
Pno1	PNO1
Pnpla6	PNPLA6
Pnpla8	PNPLA8
Pnpo	PNPO
Pnpt1	PNPT1
Pnrc2	PNRC2
Pofut1	POFUT1
Pold2	POLD2
Poldip2	POLDIP2
Poldip3	POLDIP3
Pole3	POLE3
Pole4	POLE4
Polg	POLG
Polh	POLH
Polk	POLK
Poll	POLL
Polm	POLM
Polr1c	POLR1C
Polr1d	POLR1D
Polr1e	POLR1E
Polr2a	POLR2A
Polr2b	POLR2B
Polr2c	POLR2C
Polr2d	POLR2D
Polr2e	POLR2E
Polr2f	POLR2F
Polr2g	POLR2G
Polr2h	POLR2H
Polr2i	POLR2I
Polr2j	POLR2J
Polr2k	POLR2K
Polr2l	POLR2L
Polr3c	POLR3C
Polr3e	POLR3E
Polr3e	POLR3E
Polr3k	POLR3K
Pomgnt1	POMGNT1
Pomp	POMP
Pomt1	POMT1
Pop4	POP4
Pop5	POP5
Pop7	POP7
Ppa1	PPA1
Ppa2	PPA2
Ppan	PPAN
Ppara	PPARA
Ppard	PPARD
Ppcs	PPCS
Ppfia1	PPFIA1
Pphln1	PPHLN1
Ppid	PPID
Ppie	PPIE
Ppif	PPIF
Ppig	PPIG
Ppih	PPIH
Ppil4	PPIL4
Ppm1a	PPM1A
Ppm1b	PPM1B
Ppp1ca	PPP1CA
Ppp1cc	PPP1CC
Ppp1r10	PPP1R10
Ppp1r11	PPP1R11
Ppp1r15b	PPP1R15B
Ppp1r37	PPP1R37
Ppp1r8	PPP1R8
Ppp2ca	PPP2CA
Ppp2cb	PPP2CB
Ppp2r1a	PPP2R1A
Ppp2r2a	PPP2R2A
Ppp2r2d	PPP2R2D
Ppp2r3c	PPP2R3C
Ppp2r5a	PPP2R5A
Ppp2r5b	PPP2R5B
Ppp2r5c	PPP2R5C
Ppp2r5d	PPP2R5D
Ppp2r5e	PPP2R5E
Ppp4c	PPP4C
Ppp4r1	PPP4R1
Ppp5c	PPP5C
Ppp6c	PPP6C
Ppp6r2	PPP6R2
Ppp6r3	PPP6R3
Ppwd1	PPWD1
Pqbp1	PQBP1
Pradc1	PRADC1
Prcc	PRCC
Prdm4	PRDM4
Prdx1	PRDX1
Prdx2	PRDX2
Prdx3	PRDX3
Prdx5	PRDX5
Prdx6	PRDX6
Prdx6b	PRDX6
Preb	PREB
Prep	PREP
Prkaa1	PRKAA1
Prkab1	PRKAB1
Prkaca	PRKACA
Prkag1	PRKAG1
Prkar1a	PRKAR1A
Prkrip1	PRKRIP1
Prmt1	PRMT1
Prmt5	PRMT5
Prmt7	PRMT7
Prpf18	PRPF18
Prpf19	PRPF19
Prpf3	PRPF3
Prpf31	PRPF31
Prpf4	PRPF4
Prpf40a	PRPF40A
Prpf4b	PRPF4B
Prpf6	PRPF6
Prpf8	PRPF8
Prps1	PRPS1
Prps1l3	PRPS1
Prpsap1	PRPSAP1
Prr14	PRR14
Prrc1	PRRC1
Prrc2a	PRRC2A
Prrc2b	PRRC2B
Psen1	PSEN1
Psen2	PSEN2
Psenen	PSENEN
Pskh1	PSKH1
Psma1	PSMA1
Psma2	PSMA2
Psma3	PSMA3
Psma4	PSMA4
Psma5	PSMA5
Psma6	PSMA6
Psma7	PSMA7
Psmb1	PSMB1
Psmb2	PSMB2
Psmb3	PSMB3
Psmb4	PSMB4
Psmb5	PSMB5
Psmb6	PSMB6
Psmb7	PSMB7
Psmc2	PSMC2
Psmc3	PSMC3
Psmc4	PSMC4
Psmc5	PSMC5
Psmc6	PSMC6
Psmd1	PSMD1
Psmd10	PSMD10
Psmd11	PSMD11
Psmd12	PSMD12
Psmd13	PSMD13
Psmd14	PSMD14
Psmd2	PSMD2
Psmd3	PSMD3
Psmd4	PSMD4
Psmd5	PSMD5
Psmd6	PSMD6
Psmd7	PSMD7
Psmd8	PSMD8
Psmd9	PSMD9
Psme1	PSME1
Psme3	PSME3
Psmf1	PSMF1
Psmg2	PSMG2
Psmg3	PSMG3
Psmg4	PSMG4
Pspc1	PSPC1
Ptcd1	PTCD1
Ptcd3	PTCD3
Ptdss1	PTDSS1
Ptges2	PTGES2
Ptges3	PTGES3
Ptov1	PTOV1
Ptp4a2	PTP4A2
Ptpmt1	PTPMT1
Ptpn1	PTPN1
Ptpn11	PTPN11
Ptpn23	PTPN23
Ptrh1	PTRH1
Ptrh2	PTRH2
Ptrhd1	PTRHD1
Puf60	PUF60
Pum1	PUM1
Pum2	PUM2
Pura	PURA
Purb	PURB
Pus3	PUS3
Pus7	PUS7
Pusl1	PUSL1
Pwp1	PWP1
Pwp2	PWP2
Pwwp2a	PWWP2A
Pxmp4	PXMP4
Pycr2	PYCR2
Pygo2	PYGO2
Qrich1	QRICH1
Qrsl1	QRSL1
Qsox1	QSOX1
Qtrt1	QTRT1
R3hcc1	R3HCC1
R3hdm2	R3HDM2
Rab10	RAB10
Rab11a	RAB11A
Rab11b	RAB11B
Rab14	RAB14
Rab18	RAB18
Rab1a	RAB1A
Rab1b	RAB1B
Rab21	RAB21
Rab22a	RAB22A
Rab2a	RAB2A
Rab2b	RAB2B
Rab3gap1	RAB3GAP1
Rab3gap2	RAB3GAP2
Rab40c	RAB40C
Rab4a	RAB4A
Rab5a	RAB5A
Rab5b	RAB5B
Rab5c	RAB5C
Rab6a	RAB6A
Rab7	RAB7A
Rab9	RAB9A
Rabep1	RABEP1
Rabepk	RABEPK
Rabgef1	RABGEF1
Rabggta	RABGGTA
Rabggtb	RABGGTB
Rad1	RAD1
Rad17	RAD17
Rad23b	RAD23B
Rad50	RAD50
Rad51c	RAD51C
Raf1	RAF1
Rala	RALA
Ralbp1	RALBP1
Raly	RALY
Ran	RAN
Ranbp1	RANBP1
Ranbp2	RANBP2
Ranbp3	RANBP3
